city,state,slug,total_ped_deaths_2022_2024,pct_on_surface_arterials,pct_after_dark_6pm_6am,median_victim_age,pct_age_65_plus,top_corridor_1_road,top_corridor_1_deaths,top_corridor_2_road,top_corridor_2_deaths,top_corridor_3_road,top_corridor_3_deaths,top_corridor_4_road,top_corridor_4_deaths,top_corridor_5_road,top_corridor_5_deaths
New York City,New York,new-york-city,163,53,63,61,40,FLATBUSH AVE,5,BEDFORD AVE,4,KINGS HWY,3,UTICA AVE,3,EASTERN PKWY,3
Los Angeles,California,los-angeles,463,67,80,46,21,WESTERN AVE,14,VERMONT AVE,9,NORMANDIE AVE,8,FOOTHILL BLVD,8,FIGUEROA ST,7
Chicago,Illinois,chicago,163,52,64,51,25,ASHLAND AVE,4,PULASKI RD,4,SR-50,3,WESTERN AVE,3,ARCHER AVE,3
Houston,Texas,houston,325,51,80,43,14,WESTHEIMER RD,19,BEECHNUT ST,6,SR-6,6,MARTIN LUTHER KING BLVD,5,FM 1960,4
Phoenix,Arizona,phoenix,321,83,82,43,17,W THOMAS RD,14,W MCDOWELL RD,10,E THOMAS RD,9,N 27TH AVE,8,W BASELINE RD,7
Philadelphia,Pennsylvania,philadelphia,168,70,75,46,21,SR-611 BROAD ST,10,SSR-2014 LEHIGH AVE,6,US-13 HUNTING PARK AVE,4,US-1 ROOSEVELT BLVD,4,SSR-2007 FRANKFORD AVE,4
San Antonio,Texas,san-antonio,196,54,77,46,21,CULEBRA RD,7,ZARZAMORA ST,4,COMMERCE ST,4,VANCE JACKSON RD,4,ROOSEVELT AVE,3
San Diego,California,san-diego,138,41,84,46,20,EL CAJON BLVD,3,PACIFIC HWY,2,HOME AVE,2,MIRA MESA BL,2,IMPERIAL AVE,2
Dallas,Texas,dallas,210,48,78,46,13,FOREST LN,5,SR-12,4,WHEATLAND RD,3,FERGUSON RD,3,SPRING VALLEY RD,3
Jacksonville,Florida,jacksonville,119,56,83,45,19,US-1,8,SR-21,6,SR-228,6,MERRILL RD,4,SR-109,3
Austin,Texas,austin,127,42,77,43,18,LAMAR BLVD,4,RIVERSIDE DR,4,CONGRESS AVE,3,SR-275 LOOP/LAMAR BLVD,3,AIRPORT BLVD,3
Fort Worth,Texas,fort-worth,100,36,80,47,17,BEACH ST,3,AZLE AVE,3,RIVERSIDE DR,3,BERRY ST,2,MCCART AVE,2
San Jose,California,san-jose,82,56,79,49,30,MONTEREY RD,4,QUIMBY RD,3,SARATOGA AVE,2,SENTER RD,2,S WHITE RD,2
Columbus,Ohio,columbus-oh,68,71,79,43,9,SR-16 BROAD ST,4,US-23 HIGH ST,4,SR-3 CLEVELAND AVE,3,US-33 LIVINGSTON AVE,2,US-40 BROAD ST,2
Charlotte,North Carolina,charlotte,81,52,72,44,20,SSR-2540 N GRAHAM ST,3,N SHARON AMITY RD,3,SR-27 ALBEMARLE RD,3,SR-49 S TRYON ST,2,CENTRAL AVE,2
Indianapolis,Indiana,indianapolis,102,73,75,45,14,US-40,5,38TH ST,3,E WASHINGTON ST,3,MADISON AVE,3,WASHINGTON ST,3
San Francisco,California,san-francisco,62,65,52,58,37,16TH ST,3,GENEVA AVE,2,3RD ST,2,GEARY BL,2,BAYSHORE BLVD,2
Seattle,Washington,seattle,53,60,68,46,26,SR-99,3,4TH AVE S,3,ELLIOTT AVE W,2,1ST AVE S,2,23RD AVE,1
Denver,Colorado,denver,65,75,77,51,20,SR-88   N FEDERAL BLVD,5,US-40   E COLFAX AVE,4,SR-2   N COLORADO BLVD,4,SR-88   S FEDERAL BLVD,3,SR-2 N COLORADO BLVD,3
Oklahoma City,Oklahoma,oklahoma-city,77,61,81,48,13,S WESTERN AVE,5,SW 59TH ST,5,NW 10TH ST,4,S MAY AVE,3,US-62 NE 23RD ST,3
Nashville,Tennessee,nashville,102,68,83,46,21,US-41/70S SR-1 MURFREESBORO PK,7,US-31W/41 SR-11 DICKERSON PK,6,US-31E SR-6 GALLATIN PK,4,US-70 SR-24 CHARLOTTE AVE,4,SR-255 HARDING PL,4
El Paso,Texas,el-paso,65,48,82,41,23,SR-20/MESA ST,3,DYER,2,LEE TREVINO DR,2,SR-20,2,NORTH LOOP DR,2
"Washington, DC",District of Columbia,washington-dc,48,65,73,51,27,BENNING RD NE,3,CONNECTICUT AVE NW,3,FLORIDA AVE NW,2,17TH ST NE,1,H ST NW,1
Las Vegas,Nevada,las-vegas,47,68,70,48,11,W CHARLESTON BLVD,4,E CHARLESTON BLVD,2,W LAKE MEAD BLVD,2,SR-589,1,SR-159,1
Boston,Massachusetts,boston,30,80,73,51,27,WASHINGTON ST,3,MASSACHUSETTS AVE,2,MELNEA CASS BLVD,2,SR-203 GALLIVAN BLVD,1,CAMBRIDGE ST,1
Detroit,Michigan,detroit,96,72,66,51,19,SR-3 GRATIOT AVE,6,MACK AVE,3,SR-96 GRAND RIVER AVE,3,SR-1 WOODWARD AVE,3,SR-5 GRAND RIVER AVE,3
Portland,Oregon,portland-or,74,76,74,47,15,SE DIVISION ST,7,US-26 ODOT 26,4,US-30 ODOT 123,4,SE STARK ST,3,SE 82ND AVE,3
Louisville,Kentucky,louisville,98,70,79,44,19,SR-1747 FERN VALLEY RD,5,US-31W DIXIE HWY,5,SR-1934 CANE RUN RD,4,US-31 DIXIE HWY,4,US-31E BARDSTOWN RD,4
Memphis,Tennessee,memphis,183,79,76,43,17,WINCHESTER RD,9,US-61 SR-14 S THIRD ST,8,SR-14 JACKSON AVE,6,US-64/70 SR-1 SUMMER AVE,5,SR-175 SHELBY DR,5
Baltimore,Maryland,baltimore,58,67,62,55,12,US-1 BELAIR RD,4,US-1 NORTH AVE,3,SR-150 EASTERN AVE,2,E NORTHERN PKWY,1, 6663 WASHBURN AVE,1
Milwaukee,Wisconsin,milwaukee,61,89,79,45,20,SR-145,5,N TEUTONIA AVE,5,N 60TH ST,3,W HAMPTON AVE,3,W LISBON AVE,3
Albuquerque,New Mexico,albuquerque,135,64,82,45,18,CENTRAL AVE,18,LOUISIANA BLVD,4,MONTGOMERY BLVD,4,MENAUL BLVD,4,SR-45,4
Fresno,California,fresno,83,49,80,48,12,BLACKSTONE AVE,9,SHIELDS AVE,4,SHAW AVE,3,ASHLAN AVE,2,CLOVIS AVE,2
Tucson,Arizona,tucson,134,84,84,51,24,E SPEEDWAY BLVD,8,E 22ND ST,7,CRAYCROFT RD,6,W VALENCIA RD,4,E BROADWAY BLVD,4
Sacramento,California,sacramento,79,43,76,48,14,FRUITRIDGE RD,6,POWER INN RD,2,NORTHGATE BL,2,FLORIN RD,2,FOLSOM BLVD,1
Mesa,Arizona,mesa,45,89,80,40,16,E MAIN ST,5,BROADWAY RD,4,S DOBSON RD,3,E BROADWAY RD,2,S POWER RD,2
Kansas City,Missouri,kansas-city-mo,49,51,69,46,16,INDEPENDENCE AVE,3,TROOST AVE,3,BLUE RIDGE BLVD,2,E 63RD ST,2,PROSPECT AVE,2
Atlanta,Georgia,atlanta,85,48,85,45,24,SR-42 MORELAND AVE,3,309603,1,CS-CHESHIRE BRIDGE,1,SR-028000,1,SR-154 CAMPBELLTON RD SW EAST,1
Omaha,Nebraska,omaha,23,87,82,41,26,US-275,3,SR-64 MAPLE ST,2,US-6,2,US-75,1,N 24TH ST,1
Colorado Springs,Colorado,colorado-springs,25,68,68,52,24,N ACADEMY BLVD,3,S CIRCLE DR,2,BARNES RD,1,SR-21   N POWERS BLVD,1,US-24    E FOUNTAIN BLVD,1
Raleigh,North Carolina,raleigh,44,77,82,45,23,US-1 CAPITAL BLVD,8,POOLE RD,3,US-70 GLENWOOD AVE,2,SSR-4363 MLK JR BLVD,2,US-64 BUS NEW BERN RD,1
Miami,Florida,miami,73,77,62,60,41,SR-9,6,US-1,3,7TH ST,3,US-41,2,NW 22ND AVE,2
Long Beach,California,long-beach,50,76,80,45,16,SR-1 PACIFIC COAST HWY,4,SR-1 E PACIFIC COAST HWY,4,ATLANTIC AVE,3,SR-22 E 7TH ST,2,ARTESIA BL,2
Virginia Beach,Virginia,virginia-beach,18,72,67,62,33,US-58,5,CR-7,1,PACIFIC AVE,1,8717 LYNNHAVEN PKWY,1,BAXTER RD,1
Oakland,California,oakland,43,63,77,45,30,MACARTHUR BL,3,SR-185 INTERNATIONAL BLVD,3,INTERNATIONAL BLVD,3,BANCROFT AVE,3,SR-185 INTERNATIONAL BL,2
Minneapolis,Minnesota,minneapolis,18,78,72,38,22,CR-152 CEDAR AVE S,3,SR-55 HIAWATHA AVE,2,CR-E LAKE ST,1,CR-81,1,CR-22 LYNDALE AVE S,1
Tulsa,Oklahoma,tulsa,52,77,82,40,15,S GARNETT RD,2,N YALE AVE,2,E 11TH ST,2,US-169,2,S MINGO RD,2
Tampa,Florida,tampa,58,67,71,44,17,US-41,7,US-92,4,SR-580,3,SR-45,2,NEBRASKA AVE,1
Arlington,Texas,arlington-tx,30,70,93,41,17,SR-303 SPUR/PIONEER PKWY,3,COOPER ST,3,SR-180/DIVISION ST,3,LAMAR,2,NEW YORK AVE,2
Wichita,Kansas,wichita,34,24,79,48,18,N WEST ST,2,US-81 BROADWAY AVE,1,SENECA ST,1,S OLIVER AVE,1,MERIDIAN AVE,1
